# YakuLingo - Glossary File,
# Format: source_term,translated_term (variants separated by |),scope(optional: occurrence/cell-exact)
千台,k units
千台/億円,k units/oku
千円,k yen
千円/台,k yen/unit
億円,oku
※,*
【参考】,【Ref.】
上期,1H
上期(半年),1H
上期B/E台数,1H B/E volume
上期営利,1H OP
上期 仕向地別営業利益,1H OP by Market
上期 仕向地別営業利益 利益率分析,1H OP by Market Profit Ratio Analysis
上期 車種別収益構造,1H Profit Structure by Vehicle Model
上期 YOY,1H YOY
下期,2H
下期(半年),2H
2-3Q累計,2-Q3 cum
AAT 営業利益(50%),AAT OP(50%)
AAT製,AAT-sourced
実績,Act.
補正後,adjusted
一過性項目の補正：,Adjustment for one-off items.
一過性補正後,After one-off adj.
全車種平均,All Car-line Avg.
全車種平均  1,All Car-line Avg.  1
通年換算,Annualized
通年換算(×2),Annualized (x2)
平均,Avg.
増減率,B/(W)%
B/E台数,B/E Vol.
基盤収益,Base rev.
基盤収益/,Base rev./
関税前,Before Tariff
損益分岐点比率,BEP Ratio
損益分岐点売上高,BEP Revenue
損益分岐点台数,BEP Volume|BEP vol.
仕向地別損益分岐点(B/E)台数,Break-even (B/E) by market
中国KD,China KD
中国KDセット,China KD set
中国(CMAほか),"China(CMA, etc.)"
共通固定費連結調整分,Common FC Cons.Adj.
MC･製造拠点共通固定費,Common fixed costs (MC / production sites)
連結調整他,Cons. Adj.
連結調整,Cons. Adj.
連調他,Cons. Adj.
連結営業利益,Consol. OP
連結売上高,Consol. Revenue
連結出荷台数,Consol. W/S Vol.
減価償却費他,"Depre./Amort., etc."
Dist 固定費,Dist. Fixed cost
Dist固定費,Dist. Fixed cost
国内その他,Dom. Oth.
その他国内/連結調整,Dom. Oth./Cons.Adj.
国内 基盤収益,Domestic Service
環境規制,Env. Reg.
環境規制費用,Env. reg. cost
環境規制費用(GHG),Environmental regulations(GHG)
欧州その他,EU Other
欧州,Europe
欧州主要国,Europe Main Countries
欧州、その他 主要国 営業利益,"Europe, Other Major Countries Operating Profit"
為替レート推移,Exchange Rate Trend
為替除く,Excl. FX
固定費単価,Fixed cost / unit
固定費率,Fixed Cost Ratio
固定費計,Fixed Cost Total
固定費他,"Fixed Cost, etc."
固定費、部品他,"Fixed Cost, Parts, etc."
固定販促費,Fixed Promo.
販促費,Promo. Costs
販売促進費,Promo. Costs
子会社固定販促費,Subs. Fixed Promo.
子会社 固定販促費,Subs. Fixed Promo.
固定費,Fixed Costs|Fixed Cost|FC
台数構成,Vol./Mix
構成差,Mix Difference
原材料・物流,Raw Materials/Logistics
コスト改善,Cost Improvements
構造的原低,Structural Cost Reduction
通期,Full Year
為替/市況他,FX / Market price
為替影響,FX Impact
為替,FX
FY24/3 通期,FY24/3 Full Year
FY25/3 上期,FY25/3 1H
FY25/3 上期 対,FY25/3 1H vs.
FY25/3 通期,FY25/3 Full Year
FY25/3 1Q対,FY25/3 Q1 vs.
FY25/3 2Q対,FY25/3 Q2 vs.
FY25/3 3Q対,FY25/3 Q3 vs.
FY25/3 4Q対,FY25/3 Q4 vs.
FY26/3 上期,FY26/3 1H
FY26/3 1Q,FY26/3 Q1
FY26/3 1Q 対,FY26/3 Q1 vs.
FY26/3 2Q,FY26/3 Q2
FY26/3 3Q,FY26/3 Q3
FY26/3 4Q,FY26/3 Q4
半期,Half-year
日本(ﾏﾂﾀﾞｸﾚｼﾞｯﾄほか),"Japan(M Credit, etc.)"
特別損失振替,Loss transfer to extraordinary loss
内訳:主要車種を記載,Major car models only
限利/ミックス,Mar. Profit / Mix|marginal profit/mix,occurrence
限利/ﾐｯｸｽ他,"Mar. Profit/Mix, etc."
限界利益,Marginal Profit
限利,Marginal profit
仕向地,Market
材料コスト,Material Cost
マツダブランド計,Mazda Brand ttl.
マツダブランド平均,MC brand avg.
Dist固定費配賦前利益,MC common & Dist. Fixed Cost
MC共通固定費,MC Common Fixed Cost
MC・MTMUS製　車両変動利益 単価(千円/台),MC・MTMUS-sourced Vehicle var. profit per unit (k yen/unit)
メキシコ他,"Mexico, etc."
MMVO製,MMVO-sourced
MMVO製 車両変動利益 単価(千円/台),MMVO-sourced Vehicle var. profit per unit (k yen/unit)
MTM/AAT固定費,MTM/AAT Fixed cost
MTMUS 営業利益(50%),MTMUS Operating profit (50%)
MTMUS製(CX-50),MTMUS-sourced (CX-50)
Roadster,MX-5
北米,N.A.
北米(MTMUS),N.A.(MTMUS)
Net CVP単価,Net CVP per unit
ニュージー,NZ
ニュージーランド,NZ
OEM、部品他,"OEM, Parts, etc."
OEM/KD/部品他,"OEM/KD/Parts, etc."
OEM / 部品他,"OEM/Parts, etc."
OEM/部品他,"OEM/Parts, etc."
一過性項目計,One-off items total
営業利益 (L23除く評価),OP (excl. L23)
営業利益(AAT利益含む),OP (Incl. AAT)
営業利益(MTMUS利益含む),OP (Incl. MTMUS)
営業利益 (MC固定費配賦前),OP (pre-MC FC)
連結調整前営業利益,OP before Consol. Adj.
仕向地別営業利益通期推移,OP by Market Annual Trend
"営業利益 (L24,25除く評価)","Operating Profit (excl. line24, 25)"
欧州、その他 主要国 営業利益 利益率分析,"Operating Profit (Europe, Other Major Countries) Profit Ratio Analysis"
営業利益 (L29除く評価),Operating Profit (excl. line29)
MTMUS営業利益含む,Operating Profit (Incl. MTMUS)
仕向地別営業利益,Operating Profit by Market
仕向地別営業利益 利益率分析,Operating Profit by Market Profit Ratio Analysis
仕向地別営業利益比較,Operating Profit Comparison by Market
営業利益率,Operating Profit Ratio
その他国内子会社,Other Dom. Subs.
その他(AATほか),"Other(AAT, etc.)"
単価変動,P/U Change
台当り単価(千円/台),P/U Price (k yen/unit)
部品他,"Parts, etc."
品質マツコネ引当過去修正 取消し,Past warranty provision adj.
台当り,per unit
単価,per unit
製造拠点別 パイプライン損益,Pipe-line Profit by Plant
MC共通固定費及び,Pre-Allocation Profit for
利益率,Profit Ratio
公表台数,Pub Vol.
1Q,Q1
1Q対2Q,Q1 vs. Q2
2Q,Q2
2Q対3Q,Q2 vs. Q3
3Q,Q3
3Q累計,Q3 cum
4Q,Q4
研究開発費,R&D Expense
構成比,ratio
特損振替/ロシア引当他,Reclass to extra. Loss
売上単価,Rev. per unit
売上高,Revenue
売上高(億円),Revenue (oku)
米国CAFÉ引当取崩益 取消し,Reversal of US CAFÉ provision gain
その他地域 主要国,ROW Main Countries
ロシア関連引当 他,"Russia Provision, etc."
ロシア関連引当,Russia provisions
南ア,S.Africa
セグメント収益率,Segment Profit Ratio
スポットCI,Spot CI
戦略投資,Strategic Invest.
子会社その他コスト,Subs. Other cost
子会社,subs.
小計,Subtotal
台湾,Taiwan
関税影響,Tariffs impact
タイ,Thailand
合計,Total
為替影響除く計,Total (excl. FX)
米国販売投資,U.S. Sales network
米国販売網投資,U.S. Sales Network
イギリス,UK
UPI他,"UPI, etc."
US/CAN関税影響,US/CAN Tariff
日米のみ,US/JP only
米国,U.S.
米国-GHG,US-GHG
日米/米墨,US-JP/US-MX
変動利益単価(CVP),Var. profit  per unit (CVP)
変動利益/固定費,Var. Profit / Fixed Cost
台当り変動利益増減内訳,Var. Profit P/U  I/(D)
変動利益単価,Variable Profit per Unit|VP per unit
変動利益率,Var. Profit Ratio
変動費用,Variable Costs|Variable Cost|VC
車種別・仕向地別変動利益,Variable Profit by Car Model / Market
台当り変動利益,Variable Profit per Unit|VP per unit
台当り変動利益(千円),VP per unit (k yen)
車種別変動利益単価（環境規制費用反映後）　四半期推移,Variable Profit per unit by Model (after reflecting environmental regulation cost) Quarterly Trend
変動利益 計,Variable Profit Total
車両,Veh.
車両限界利益,Vehicle Mar. Profit
車両利益率,Vehicle Profit Ratio
車両収益率,Vehicle Profit Ratio
社外要具費,Vendor Tooling
ベトナム,Vietnam
販売奨励金,VM
奨励金,VM
販売奨励金/固定販促費,VM / Fixed Promo.
台数,Vol.
台数/為替他,Vol. / FX
台数/為替レート,Vol. / FX Rate
台数/為替レート通期推移,Vol. / FX Rate Annual Trend
台数(千台),Vol.(k unit)
台数増減,Volume
変動利益,Variable Profit|VP
車両変動利益,Vehicle Variable Profit|VP (Veh.)
車種別仕向地別車両変動利益,VP (Veh.) by Car Model / Market
