# YakuLingo - Prompt Glossary (Copilot注入用),
# 用途: 文章翻訳・ファイル翻訳のプロンプトに「参考訳語」として注入する用語集。
# glossary.csv(表ラベルの完全一致置換用)とは独立。こちらは文中使用を想定し、
# 一般語は小文字(sentence case)、頭字語・固有名詞のみ大文字で登録する。
# Format: source_term,translated_term (variants separated by |),scope(optional: occurrence/cell-exact)
千台,k units
千円,k yen
千円/台,k yen/unit
億円,oku
上期,1H
下期,2H
半期,half-year
財務実績,financial results|fin. results
実績,actual|actuals|act.
見通し,forecast|is forecast to|fcst.
通年換算,annualized
補正後,adjusted
一過性項目,one-off items
当期純利益,PAT
税引前当期純利益,PBT
税引き前当期純利益,PBT
フリーキャッシュフロー,FCF
フリー・キャッシュ・フロー,FCF
フリーCF,FCF
信用力,creditworthiness
職務分離,segregation of duties
売上高,revenue|rev.|Rev.
営業利益率,operating profit ratio
利益率,profit ratio
連結営業利益,consolidated operating profit|consol. OP
連結調整,consolidation adjustments|cons. adj.
研究開発費,R&D expense
限界利益,marginal profit
限利,marginal profit,occurrence
限利/ミックス,marginal profit/mix|Mar. Profit / Mix,occurrence
変動利益,variable profit|VP
車両変動利益,vehicle variable profit|VP (Veh.)
変動利益単価,variable profit per unit|VP per unit
台当り変動利益,variable profit per unit|VP per unit
変動費用,variable costs|variable cost|VC
固定費・変動費,fixed and variable costs|fixed and variable cost|fixed- and variable-cost|FC & VC|FC/VC
固定費,fixed costs|fixed cost|FC
固定販促費,fixed sales promotion costs|fixed promo. costs
販促費,sales promotion costs|promo. costs
販売促進費,sales promotion costs|promo. costs
子会社固定販促費,subsidiaries' fixed sales promotion costs|subs. fixed promo. costs
子会社 固定販促費,subsidiaries' fixed sales promotion costs|subs. fixed promo. costs
材料コスト,material cost
損益分岐点台数,BEP volume|BEP vol.
損益分岐点売上高,BEP revenue
損益分岐点比率,BEP ratio
B/E台数,break-even volume|B/E vol.
台数,volume|vol.
台数構成,volume/mix|vol./mix
構成差,mix difference
出荷台数,wholesale volume|W/S vol.
連結出荷台数,consolidated wholesale volume|consol. W/S vol.
出荷,wholesale|W/S
営業利益,operating profit|OP
公表台数,announced volume|pub vol.
原材料・物流,raw materials/logistics
コスト改善,cost improvements
構造的原低,structural cost reduction|struct. cost redn.
関税影響,tariffs impact
関税前,before tariffs
為替,foreign exchange|exchange rate|FX
為替影響,foreign exchange impact|FX impact
為替除く,excluding foreign exchange|excluding FX|excl. FX
販売奨励金,VM
奨励金,VM
環境規制,environmental regulations|env. reg.
環境規制費用,environmental regulation cost|env. reg. cost
品質関連費用,warranty expenses|warranty exp.|Warranty exp.,occurrence
社外要具費,vendor tooling
戦略投資,strategic investment
成長投資,growth investments
単価,per unit
台当り,per unit
仕向地,market
仕向地別,by market
子会社,subsidiaries|subs.
親会社,parent
関係会社,affiliates|affil.
小計,subtotal
合計,total
構成比,ratio
米国,U.S.|United States
US,U.S.,occurrence
北米,North America|N.A.
欧州,Europe
豪州,Australia
南ア,South Africa|S. Africa
ニュージーランド,NZ
台湾,Taiwan
タイ,Thailand
ベトナム,Vietnam
イギリス,UK
中国KD,China KD
AAT製,AAT-sourced
MMVO製,MMVO-sourced
MTMUS製(CX-50),MTMUS-sourced (CX-50)
Roadster,MX-5
マツダブランド計,Mazda brand total|Mazda brand ttl.
あずさ,AZSA
あずさ監査法人,AZSA
毛籠,Moro
ガイトン,Guyton
決算速報,PL flash report
決算の速報,PL flash report
PL確報,final PL report
決算の確報,final PL report
全本部,all divisions|all divs.
財務本部,Financial Services Div.
本部,division|div.
部門,department|dept.
非開示,undisclosed
エヌビディア,NVIDIA
親会社株主に帰属する当期純利益,PAT attributable to owners of parent
単価改善,per-unit price improvement
台当り車両変動利益単価,vehicle variable profit per unit|VP (Veh.) per unit
車両変動利益単価,vehicle variable profit per unit|VP (Veh.) per unit
キャッシュフロー/資金調達,Cash Flow / Financing
規制値に未達,short of the regulatory target|non-compliant|shortfall|fall short|falls short|fell short
規制値未達,short of the regulatory target|non-compliant|shortfall|fall short
規制未達,non-compliance with the regulation|non-compliant|shortfall|fall short
購入先,supplier|counterparty|to be purchased from
対前年,year on year|YoY|PY
前年同期比,year on year|YoY
前期比,year on year|YoY
増収減益,higher revenue and lower profit
単体,non-consolidated|on a non-consolidated basis
長期安定資金,stable long-term funding
資金調達環境,financing environment|financing conditions
在庫増,inventory increase|inventory build-up
商品改良モデル,updated model|updated models
クロスオーバー系車種,crossover models
VM悪化,VM deterioration
OEM減,OEM decrease
公表,announcement|announced|announce|pub
環境規制対応,environmental regulation compliance|env. reg. compliance
ロサンゼルスモーターショー,Los Angeles Auto Show
グローバル販売台数,global sales volume|global sales vol.
指摘,point out|points out|pointed out|noted
独自の当てはめ,its own application of rules
独自の解釈,its own interpretation
損失負担,losses borne|loss burden borne|bear losses|bearing losses|loss burden
営業外損益,non-operating income (expenses)
特別損益,extraordinary income (losses)
為替差損益,foreign exchange gains/losses|FX gains/losses
投資有価証券評価損,valuation loss on investment securities
課税所得,taxable income
法人税等,corporate income taxes
非支配株主帰属利益,profit attributable to non-controlling interests
連結当期純利益,consolidated PAT|consol. PAT
決算短信,financial results summary
付議,submit for deliberation|submit to
時価,market value
最終合意,final agreement|reach final agreement
浸透,embed|embedding|instill
連結税引前利益,consolidated PBT|consol. PBT
寄付金認定,deemed donation treatment|reclassification as a donation
否認,disallowance|disallowed
期間否認,disallowance of period allocation|timing disallowance
追徴課税,additional tax assessment|additional taxation
撤廃,repeal|repealed|elimination
営利,operating profit|OP,occurrence
